name,price,bedrooms,bathrooms,sqr,distance,BER,type
3488704,2000,1,1,N/A,7.1069136584293675,A2,['To Let']
3488706,2335,2,2,N/A,7.1069136584293675,A2,['To Let']
3488720,2850,3,2,N/A,7.1069136584293675,A2,['To Let']
3523579,1900,1,1,N/A,3.306241610781172,A3,['To Let']
3523582,2250,2,2,N/A,3.306241610781172,A3,['To Let']
3523581,3045,3,3,N/A,3.306241610781172,A3,['To Let']
2607782,3300,2,2,N/A,1.563603950608259,A2,['To Let']
2915605,4200,2,2,N/A,1.563603950608259,A2,['To Let']
2915549,4230,3,2,N/A,1.563603950608259,A2,['To Let']
1481753,4300,2,2,N/A,1.563603950608259,A2,['To Let']
3260044,15000,2,3,N/A,1.563603950608259,A3,['To Let']
2854091,2500,1,1,N/A,1.476051806284783,A3,['To Let']
1446984,3245,2,2,N/A,1.476051806284783,A3,['To Let']
2569623,3575,2,2,N/A,1.476051806284783,A3,['To Let']
2569627,5030,3,3,N/A,1.476051806284783,A3,['To Let']
3547529,2000,1,1,N/A,4.039360838640577,A2,['To Let']
3547527,2400,2,2,N/A,4.039360838640577,A2,['To Let']
3547528,3200,3,2,N/A,4.039360838640577,A2,['To Let']
3217502,3150,2,2,N/A,1.3120090514747347,A2,['To Let']
1442730,3572,2,2,N/A,1.3120090514747347,A3,['To Let']
1442731,4000,2,2,N/A,1.3120090514747347,A2,['To Let']
3217494,4200,3,2,N/A,1.3120090514747347,A2,['To Let']
2495659,6000,3,3,N/A,1.3120090514747347,A1,['To Let']
3581864,2450,1,1,N/A,1.3732969136458906,A2,['To Let']
3581865,2900,2,2,N/A,1.3732969136458906,A2,['To Let']
3581866,3900,3,2,N/A,1.3732969136458906,A2,['To Let']
3173135,2050,2,2,N/A,12.094618179440225,A2,['To Let']
3173139,2350,3,3,N/A,12.094618179440225,A2,['To Let']
3173141,2500,4,3,N/A,12.094618179440225,A2,['To Let']
2287914,1750,1,1,N/A,1.6783743810137752,C2,['To Let']
3593255,1900,1,1,N/A,12.890707858440878,C2,['To Let']
3594452,2500,2,1,N/A,12.890707858440878,C1,['To Let']
2929971,2450,1,1,N/A,0.6557455626080313,B1,['To Let']
3610158,1750,1,2,N/A,12.226595992257778,A3,['To Let']
