name,price,bedrooms,bathrooms,sqr,distance,BER,type
3599524,"€2,250 per month",2 Bed,2 Bath,N/A,2.213855003594105,A2,['To Let']
3599526,"€2,250 per month",2 Bed,2 Bath,N/A,2.213855003594105,A2,['To Let']
2534220,"€2,392 per month",2 Bed,2 Bath,N/A,3.1902970692721686,A3,['To Let']
2872652,"€3,096 per month",3 Bed,2 Bath,N/A,3.1902970692721686,A3,['To Let']
3574543,€180 per week,2 Bed,2 Bath,N/A,2.730083672691854,NA,['To Let']
3574538,€220 per week,2 Bed,2 Bath,N/A,2.730083672691854,NA,['To Let']
3574544,€220 per week,2 Bed,2 Bath,N/A,2.730083672691854,C3,['To Let']
3570608,"€2,680 per month",2 Bed,2 Bath,N/A,2.730083672691854,NA,['To Let']
3574533,"€3,900 per month",3 Bed,3 Bath,N/A,2.730083672691854,C3,['To Let']
2315180,€125 per week,1 Bed,1 Bath,N/A,6.356746629814753,NA,['To Let']
2314394,"€2,290 per month",2 Bed,2 Bath,N/A,10.05993295801195,A2,['To Let']
3467976,"€1,818 per month",2 Bed,1 Bath,N/A,11.639084692573242,B3,['To Let']
3592001,"€1,799 per month",1 Bed,1 Bath,N/A,9.389843701134575,NA,['To Let']
3591999,"€2,025 per month",2 Bed,2 Bath,N/A,9.389843701134575,NA,['To Let']
2563864,"€2,300 per month",2 Bed,2 Bath,N/A,5.726126403970131,A3,['To Let']
2498968,"€1,877 per month",1 Bed,1 Bath,N/A,10.219895181737806,A2,['To Let']
2509698,"€4,000 per month",2 Bed,3 Bath,N/A,1.9699158776264778,A3,['To Let']
2509696,"€5,000 per month",2 Bed,3 Bath,N/A,1.9699158776264778,A3,['To Let']
2509699,"€5,500 per month",3 Bed,4 Bath,N/A,1.9699158776264778,A3,['To Let']
2509700,"€6,000 per month",3 Bed,4 Bath,N/A,1.9699158776264778,A3,['To Let']
2509697,"€15,000 per month",4 Bed,5 Bath,N/A,1.9699158776264778,A3,['To Let']
2929990,"€2,395 per month",2 Bed,2 Bath,N/A,11.28295222680497,D1,['To Let']
2513455,"€1,773 per month",1 Bed,1 Bath,N/A,1.0455167007098387,D1,['To Let']
2555332,"€2,375 per month",2 Bed,2 Bath,N/A,1.0455167007098387,D1,['To Let']
2328080,"€2,000 per month",2 Bed,2 Bath,N/A,8.85613105894407,NA,['To Let']
2541901,€240 per week,1 Bed,1 Bath,N/A,6.539604818004995,NA,['To Let']
2324609,€260 per week,1 Bed,1 Bath,N/A,1.2394049020986784,NA,['To Let']
3225006,€259 per week,1 Bed,1 Bath,N/A,1.443677854170889,NA,['To Let']
2324598,€230 per week,1 Bed,1 Bath,N/A,1.761609886652637,NA,['To Let']
2324596,€250 per week,1 Bed,1 Bath,N/A,1.761609886652637,NA,['To Let']
2324600,€249 per week,1 Bed,1 Bath,N/A,1.955393640445233,NA,['To Let']
3577382,"€1,500 per month",1 Bed,1 Bath,N/A,7.442075096331611,A1,['To Let']
3576794,"€1,675 per month",1 Bed,1 Bath,N/A,7.442075096331611,A1,['To Let']
3576795,"€1,950 per month",2 Bed,2 Bath,N/A,7.442075096331611,A1,['To Let']
3168928,"€1,500 per month",1 Bed,1 Bath,N/A,13.017901217621061,A1,['To Let']
2621140,"€1,764 per month",1 Bed,1 Bath,N/A,13.017901217621061,A1,['To Let']
2621139,"€1,950 per month",2 Bed,2 Bath,N/A,13.017901217621061,A1,['To Let']
3467654,"€2,550 per month",3 Bed,3 Bath,N/A,13.017901217621061,A1,['To Let']
3556666,"€1,950 per month",2 Bed,2 Bath,N/A,1.8848290141040007,B3,['To Let']
3556669,"€2,100 per month",2 Bed,2 Bath,N/A,1.8848290141040007,B3,['To Let']
2299640,"€1,975 per month",1 Bed,1 Bath,N/A,5.711478708956227,A3,['To Let']
2299639,"€2,300 per month",2 Bed,2 Bath,N/A,5.711478708956227,A3,['To Let']
2299637,"€2,550 per month",2 Bed,2 Bath,N/A,5.711478708956227,A3,['To Let']
2299638,"€3,000 per month",3 Bed,2 Bath,N/A,5.711478708956227,A3,['To Let']
